survived,pclass,sex,age,fare,embarked,Relative,journey_alone,Child,age_category,Fare_category,age_zscore,fare_zscore
1,3,female,30.0,12.475,S,0,Yes,No,Adult,moderate,0.02,-0.44
0,3,male,22.0,9.0,S,0,Yes,No,Young_adult,moderate,-0.59,-0.52
1,3,male,29.0,9.5,S,0,Yes,No,Young_adult,moderate,-0.05,-0.51
1,3,female,29.69911764705882,7.7875,Q,0,Yes,No,Young_adult,cheap,0.0,-0.55
0,1,male,28.0,47.1,S,0,Yes,No,Young_adult,exp,-0.13,0.37
1,2,female,17.0,10.5,S,0,Yes,Yes,Teemager,moderate,-0.98,-0.49
1,3,female,33.0,15.85,S,3,No,No,Adult,exp,0.25,-0.36
0,3,male,16.0,34.375,S,4,No,Yes,Teemager,exp,-1.05,0.07
0,3,male,29.69911764705882,8.05,S,0,Yes,No,Young_adult,moderate,0.0,-0.55
1,1,female,23.0,250.0,S,5,No,No,Young_adult,very_exp,-0.52,5.14
0,3,male,24.0,8.05,S,0,Yes,No,Young_adult,moderate,-0.44,-0.55
0,3,male,29.0,8.05,S,0,Yes,No,Young_adult,moderate,-0.05,-0.55
0,3,male,20.0,7.8542,S,0,Yes,No,Young_adult,cheap,-0.75,-0.55
0,1,male,46.0,61.175,S,1,No,No,Adult,exp,1.25,0.7
0,3,male,26.0,20.575,S,3,No,No,Young_adult,exp,-0.28,-0.25
0,3,male,59.0,7.25,S,0,Yes,No,Elderly,very_cheap,2.25,-0.57
0,3,male,29.69911764705882,8.05,S,0,Yes,No,Young_adult,moderate,0.0,-0.55
0,1,male,71.0,34.6542,C,0,Yes,No,Elderly,exp,3.18,0.08
1,1,male,23.0,63.3583,C,1,No,No,Young_adult,exp,-0.52,0.75
1,2,female,34.0,23.0,S,1,No,No,Adult,exp,0.33,-0.2
0,2,male,34.0,26.0,S,1,No,No,Adult,exp,0.33,-0.13
0,3,female,28.0,7.8958,S,0,Yes,No,Young_adult,cheap,-0.13,-0.55
0,3,male,29.69911764705882,7.8958,S,0,Yes,No,Young_adult,cheap,0.0,-0.55
0,1,male,21.0,77.2875,S,1,No,No,Young_adult,exp,-0.67,1.08
0,3,male,33.0,8.6542,S,0,Yes,No,Adult,moderate,0.25,-0.53
0,3,male,37.0,7.925,S,2,No,No,Adult,moderate,0.56,-0.55
0,3,male,28.0,7.8958,S,0,Yes,No,Young_adult,cheap,-0.13,-0.55
1,3,female,21.0,7.65,S,0,Yes,No,Young_adult,cheap,-0.67,-0.56
1,3,male,29.69911764705882,7.775,S,0,Yes,No,Young_adult,cheap,0.0,-0.55
0,3,male,38.0,7.8958,S,0,Yes,No,Adult,cheap,0.64,-0.55
1,3,female,29.69911764705882,24.15,Q,1,No,No,Young_adult,exp,0.0,-0.17
0,1,male,47.0,52.0,S,0,Yes,No,Adult,exp,1.33,0.49
0,3,female,14.5,14.4542,C,1,No,Yes,Teemager,moderate,-1.17,-0.4
0,3,male,22.0,8.05,S,0,Yes,No,Young_adult,moderate,-0.59,-0.55
0,3,female,20.0,9.825,S,1,No,No,Young_adult,moderate,-0.75,-0.51
0,3,female,17.0,14.4583,C,0,Yes,Yes,Teemager,exp,-0.98,-0.4
0,3,male,21.0,7.925,S,0,Yes,No,Young_adult,moderate,-0.67,-0.55
0,3,male,70.5,7.75,Q,0,Yes,No,Elderly,cheap,3.14,-0.55
0,2,male,29.0,21.0,S,1,No,No,Young_adult,exp,-0.05,-0.24
0,1,male,24.0,247.5208,C,1,No,No,Young_adult,very_exp,-0.44,5.08
0,3,female,2.0,31.275,S,6,No,Yes,Child,exp,-2.13,-0.0
0,2,male,21.0,73.5,S,2,No,No,Young_adult,exp,-0.67,0.99
0,3,male,29.69911764705882,8.05,S,0,Yes,No,Young_adult,moderate,0.0,-0.55
0,2,male,32.5,30.0708,C,1,No,No,Adult,exp,0.22,-0.03
1,2,female,32.5,13.0,S,0,Yes,No,Adult,moderate,0.22,-0.43
0,1,male,54.0,77.2875,S,1,No,No,Adult,exp,1.87,1.08
1,3,male,12.0,11.2417,C,1,No,Yes,Teemager,moderate,-1.36,-0.47
0,3,male,29.69911764705882,7.75,Q,0,Yes,No,Young_adult,cheap,0.0,-0.55
1,3,male,24.0,7.1417,S,0,Yes,No,Young_adult,very_cheap,-0.44,-0.57
1,3,female,29.69911764705882,22.3583,C,2,No,No,Young_adult,exp,0.0,-0.21
0,3,male,45.0,6.975,S,0,Yes,No,Adult,very_cheap,1.18,-0.57
0,3,male,33.0,7.8958,C,0,Yes,No,Adult,cheap,0.25,-0.55
0,3,male,20.0,7.05,S,0,Yes,No,Young_adult,very_cheap,-0.75,-0.57
0,3,female,47.0,14.5,S,1,No,No,Adult,exp,1.33,-0.4
1,2,female,29.0,26.0,S,1,No,No,Young_adult,exp,-0.05,-0.13
0,2,male,25.0,13.0,S,0,Yes,No,Young_adult,moderate,-0.36,-0.43
0,2,male,23.0,15.0458,C,0,Yes,No,Young_adult,exp,-0.52,-0.38
1,1,female,19.0,26.2833,S,2,No,No,Young_adult,exp,-0.82,-0.12
0,1,male,37.0,53.1,S,1,No,No,Adult,exp,0.56,0.51
0,3,male,16.0,9.2167,S,0,Yes,Yes,Teemager,moderate,-1.05,-0.52
0,1,male,24.0,79.2,C,0,Yes,No,Young_adult,very_exp,-0.44,1.13
0,3,female,29.69911764705882,15.2458,C,2,No,No,Young_adult,exp,0.0,-0.38
1,3,female,22.0,7.75,S,0,Yes,No,Young_adult,cheap,-0.59,-0.55
1,3,female,24.0,15.85,S,1,No,No,Young_adult,exp,-0.44,-0.36
0,3,male,19.0,6.75,Q,0,Yes,No,Young_adult,very_cheap,-0.82,-0.58
0,2,male,18.0,11.5,S,0,Yes,No,Young_adult,moderate,-0.9,-0.47
0,2,male,19.0,36.75,S,2,No,No,Young_adult,exp,-0.82,0.13
1,3,male,27.0,7.7958,S,0,Yes,No,Young_adult,cheap,-0.21,-0.55
0,3,female,9.0,34.375,S,4,No,Yes,Child,exp,-1.59,0.07
0,2,male,36.5,26.0,S,2,No,No,Adult,exp,0.52,-0.13
0,2,male,42.0,13.0,S,0,Yes,No,Adult,moderate,0.95,-0.43
0,2,male,51.0,12.525,S,0,Yes,No,Adult,moderate,1.64,-0.44
1,1,female,22.0,66.6,S,1,No,No,Young_adult,exp,-0.59,0.83
0,3,male,55.5,8.05,S,0,Yes,No,Elderly,moderate,1.98,-0.55
0,3,male,40.5,14.5,S,2,No,No,Adult,exp,0.83,-0.4
0,3,male,29.69911764705882,7.3125,S,0,Yes,No,Young_adult,very_cheap,0.0,-0.56
0,1,male,51.0,61.3792,C,1,No,No,Adult,exp,1.64,0.71
1,3,female,16.0,7.7333,Q,0,Yes,Yes,Teemager,cheap,-1.05,-0.55
0,3,male,30.0,8.05,S,0,Yes,No,Adult,moderate,0.02,-0.55
0,3,male,29.69911764705882,8.6625,S,0,Yes,No,Young_adult,moderate,0.0,-0.53
0,3,male,29.69911764705882,69.55,S,10,No,No,Young_adult,exp,0.0,0.9
0,3,male,44.0,16.1,S,1,No,No,Adult,exp,1.1,-0.36
1,2,female,40.0,15.75,S,0,Yes,No,Adult,exp,0.79,-0.37
0,3,male,26.0,7.775,S,0,Yes,No,Young_adult,cheap,-0.28,-0.55
0,3,male,17.0,8.6625,S,0,Yes,Yes,Teemager,moderate,-0.98,-0.53
0,3,male,1.0,39.6875,S,5,No,Yes,Child,exp,-2.21,0.2
1,3,male,9.0,20.525,S,2,No,Yes,Child,exp,-1.59,-0.25
1,1,female,29.69911764705882,55.0,S,1,No,No,Young_adult,exp,0.0,0.56
0,3,female,45.0,27.9,S,5,No,No,Adult,exp,1.18,-0.08
0,1,male,29.69911764705882,25.925,S,0,Yes,No,Young_adult,exp,0.0,-0.13
0,3,male,28.0,56.4958,S,0,Yes,No,Young_adult,exp,-0.13,0.59
0,1,male,61.0,33.5,S,0,Yes,No,Elderly,exp,2.41,0.05
0,3,male,4.0,29.125,Q,5,No,Yes,Child,exp,-1.98,-0.05
1,3,female,1.0,11.1333,S,2,No,Yes,Child,moderate,-2.21,-0.47
0,3,male,21.0,7.925,S,0,Yes,No,Young_adult,moderate,-0.67,-0.55
0,1,male,56.0,30.6958,C,0,Yes,No,Elderly,exp,2.02,-0.01
0,3,male,18.0,7.8542,S,2,No,No,Young_adult,cheap,-0.9,-0.55
0,3,male,29.69911764705882,25.4667,S,4,No,No,Young_adult,exp,0.0,-0.14
0,1,female,50.0,28.7125,C,0,Yes,No,Adult,exp,1.56,-0.06
0,2,male,30.0,13.0,S,0,Yes,No,Adult,moderate,0.02,-0.43
0,3,male,36.0,5.0,S,0,Yes,No,Adult,very_cheap,0.48,-0.62
0,3,female,29.69911764705882,69.55,S,10,No,No,Young_adult,exp,0.0,0.9
0,2,male,29.69911764705882,15.05,C,0,Yes,No,Young_adult,exp,0.0,-0.38
0,3,male,9.0,31.3875,S,6,No,Yes,Child,exp,-1.59,0.0
1,2,male,1.0,39.0,S,3,No,Yes,Child,exp,-2.21,0.18
1,3,female,4.0,22.025,S,2,No,Yes,Child,exp,-1.98,-0.22
0,1,male,29.69911764705882,50.0,S,0,Yes,No,Young_adult,exp,0.0,0.44
1,3,female,29.69911764705882,15.5,Q,1,No,No,Young_adult,exp,0.0,-0.37
1,1,male,45.0,26.55,S,0,Yes,No,Adult,exp,1.18,-0.11
0,3,male,40.0,15.5,Q,2,No,No,Adult,exp,0.79,-0.37
0,3,male,36.0,7.8958,S,0,Yes,No,Adult,cheap,0.48,-0.55
1,2,female,32.0,13.0,S,0,Yes,No,Adult,moderate,0.18,-0.43
0,2,male,19.0,13.0,S,0,Yes,No,Young_adult,moderate,-0.82,-0.43
1,3,female,19.0,7.8542,S,1,No,No,Young_adult,cheap,-0.82,-0.55
1,2,male,3.0,26.0,S,2,No,Yes,Child,exp,-2.05,-0.13
1,1,female,44.0,27.7208,C,0,Yes,No,Adult,exp,1.1,-0.08
1,1,female,58.0,146.5208,C,0,Yes,No,Elderly,very_exp,2.18,2.71
0,3,male,29.69911764705882,7.75,Q,0,Yes,No,Young_adult,cheap,0.0,-0.55
0,3,male,42.0,8.4042,S,1,No,No,Adult,moderate,0.95,-0.54
1,3,female,29.69911764705882,7.75,Q,0,Yes,No,Young_adult,cheap,0.0,-0.55
0,2,female,24.0,13.0,S,0,Yes,No,Young_adult,moderate,-0.44,-0.43
0,3,male,28.0,9.5,S,0,Yes,No,Young_adult,moderate,-0.13,-0.51
0,3,male,29.69911764705882,69.55,S,10,No,No,Young_adult,exp,0.0,0.9
0,3,male,34.0,6.4958,S,0,Yes,No,Adult,very_cheap,0.33,-0.58
0,3,male,45.5,7.225,C,0,Yes,No,Adult,very_cheap,1.22,-0.57
1,3,male,18.0,8.05,S,0,Yes,No,Young_adult,moderate,-0.9,-0.55
0,3,female,2.0,10.4625,S,1,No,Yes,Child,moderate,-2.13,-0.49
0,3,male,32.0,15.85,S,1,No,No,Adult,exp,0.18,-0.36
1,3,male,26.0,18.7875,C,0,Yes,No,Young_adult,exp,-0.28,-0.29
1,3,female,16.0,7.75,Q,0,Yes,Yes,Teemager,cheap,-1.05,-0.55
1,1,male,40.0,31.0,C,0,Yes,No,Adult,exp,0.79,-0.01
0,3,male,24.0,7.05,S,0,Yes,No,Young_adult,very_cheap,-0.44,-0.57
1,2,female,35.0,21.0,S,0,Yes,No,Adult,exp,0.41,-0.24
0,3,male,22.0,7.25,S,0,Yes,No,Young_adult,very_cheap,-0.59,-0.57
0,2,male,30.0,13.0,S,0,Yes,No,Adult,moderate,0.02,-0.43
0,3,male,29.69911764705882,7.75,Q,1,No,No,Young_adult,cheap,0.0,-0.55
1,1,female,31.0,113.275,C,1,No,No,Adult,very_exp,0.1,1.93
1,3,female,27.0,7.925,S,0,Yes,No,Young_adult,moderate,-0.21,-0.55
0,2,male,42.0,27.0,S,1,No,No,Adult,exp,0.95,-0.1
1,1,female,32.0,76.2917,C,0,Yes,No,Adult,exp,0.18,1.06
0,2,male,30.0,10.5,S,0,Yes,No,Adult,moderate,0.02,-0.49
1,3,male,16.0,8.05,S,0,Yes,Yes,Teemager,moderate,-1.05,-0.55
0,2,male,27.0,13.0,S,0,Yes,No,Young_adult,moderate,-0.21,-0.43
0,3,male,51.0,8.05,S,0,Yes,No,Adult,moderate,1.64,-0.55
0,3,male,29.69911764705882,7.8958,S,0,Yes,No,Young_adult,cheap,0.0,-0.55
1,1,male,38.0,90.0,S,1,No,No,Adult,very_exp,0.64,1.38
0,3,male,22.0,9.35,S,0,Yes,No,Young_adult,moderate,-0.59,-0.52
1,2,male,19.0,10.5,S,0,Yes,No,Young_adult,moderate,-0.82,-0.49
0,3,male,20.5,7.25,S,0,Yes,No,Young_adult,very_cheap,-0.71,-0.57
0,2,male,18.0,13.0,S,0,Yes,No,Young_adult,moderate,-0.9,-0.43
0,3,female,29.69911764705882,25.4667,S,4,No,No,Young_adult,exp,0.0,-0.14
1,1,female,35.0,83.475,S,1,No,No,Adult,very_exp,0.41,1.23
0,3,male,29.0,7.775,S,0,Yes,No,Young_adult,cheap,-0.05,-0.55
0,2,male,59.0,13.5,S,0,Yes,No,Elderly,moderate,2.25,-0.42
1,3,female,5.0,31.3875,S,6,No,Yes,Child,exp,-1.9,0.0
0,2,male,24.0,10.5,S,0,Yes,No,Young_adult,moderate,-0.44,-0.49
0,3,female,29.69911764705882,7.55,S,0,Yes,No,Young_adult,very_cheap,0.0,-0.56
0,2,male,44.0,26.0,S,1,No,No,Adult,exp,1.1,-0.13
1,2,female,8.0,26.25,S,2,No,Yes,Child,exp,-1.67,-0.12
0,2,male,19.0,10.5,S,0,Yes,No,Young_adult,moderate,-0.82,-0.49
0,2,male,33.0,12.275,S,0,Yes,No,Adult,moderate,0.25,-0.45
0,3,female,29.69911764705882,14.4542,C,1,No,No,Young_adult,moderate,0.0,-0.4
1,3,female,29.69911764705882,15.5,Q,1,No,No,Young_adult,exp,0.0,-0.37
0,2,male,29.0,10.5,S,0,Yes,No,Young_adult,moderate,-0.05,-0.49
0,3,male,22.0,7.125,S,0,Yes,No,Young_adult,very_cheap,-0.59,-0.57
0,3,male,30.0,7.225,C,0,Yes,No,Adult,very_cheap,0.02,-0.57
0,1,male,44.0,90.0,Q,2,No,No,Adult,very_exp,1.1,1.38
0,3,female,25.0,7.775,S,0,Yes,No,Young_adult,cheap,-0.36,-0.55
1,2,female,24.0,14.5,S,2,No,No,Young_adult,exp,-0.44,-0.4
1,1,male,37.0,52.5542,S,2,No,No,Adult,exp,0.56,0.5
0,2,male,54.0,26.0,S,1,No,No,Adult,exp,1.87,-0.13
0,3,male,29.69911764705882,7.25,S,0,Yes,No,Young_adult,very_cheap,0.0,-0.57
0,3,female,29.0,10.4625,S,2,No,No,Young_adult,moderate,-0.05,-0.49
0,1,male,62.0,26.55,S,0,Yes,No,Elderly,exp,2.48,-0.11
0,3,male,30.0,16.1,S,1,No,No,Adult,exp,0.02,-0.36
0,3,female,41.0,20.2125,S,2,No,No,Adult,exp,0.87,-0.26
1,3,female,29.0,15.2458,C,2,No,No,Young_adult,exp,-0.05,-0.38
1,1,female,29.69911764705882,79.2,C,0,Yes,No,Young_adult,very_exp,0.0,1.13
1,1,female,30.0,86.5,S,0,Yes,No,Adult,very_exp,0.02,1.3
1,1,female,35.0,250.0,C,0,Yes,No,Adult,very_exp,0.41,5.14
1,2,female,50.0,26.0,S,1,No,No,Adult,exp,1.56,-0.13
0,3,male,29.69911764705882,7.75,Q,0,Yes,No,Young_adult,cheap,0.0,-0.55
1,3,male,3.0,31.3875,S,6,No,Yes,Child,exp,-2.05,0.0
0,1,male,52.0,79.65,S,2,No,No,Adult,very_exp,1.72,1.14
0,1,male,40.0,5.0,S,0,Yes,No,Adult,very_cheap,0.79,-0.62
0,3,female,29.69911764705882,7.75,Q,0,Yes,No,Young_adult,cheap,0.0,-0.55
0,2,male,36.0,10.5,S,0,Yes,No,Adult,moderate,0.48,-0.49
0,3,male,16.0,39.6875,S,5,No,Yes,Teemager,exp,-1.05,0.2
1,3,male,25.0,7.775,S,1,No,No,Young_adult,cheap,-0.36,-0.55
1,1,female,58.0,153.4625,S,1,No,No,Elderly,very_exp,2.18,2.87
1,1,female,35.0,135.6333,S,0,Yes,No,Adult,very_exp,0.41,2.45
0,1,male,29.69911764705882,31.0,S,0,Yes,No,Young_adult,exp,0.0,-0.01
1,3,male,25.0,5.0,S,0,Yes,No,Young_adult,very_cheap,-0.36,-0.62
1,2,female,41.0,19.5,S,1,No,No,Adult,exp,0.87,-0.28
0,1,male,37.0,29.7,C,1,No,No,Adult,exp,0.56,-0.04
1,3,female,29.69911764705882,7.75,Q,0,Yes,No,Young_adult,cheap,0.0,-0.55
1,1,female,63.0,77.9583,S,1,No,No,Elderly,exp,2.56,1.1
0,3,female,45.0,7.75,S,0,Yes,No,Adult,cheap,1.18,-0.55
0,2,male,29.69911764705882,5.0,S,0,Yes,No,Young_adult,very_cheap,0.0,-0.62
0,3,male,7.0,29.125,Q,5,No,Yes,Child,exp,-1.75,-0.05
1,3,female,35.0,20.25,S,2,No,No,Adult,exp,0.41,-0.26
0,3,male,65.0,7.75,Q,0,Yes,No,Elderly,cheap,2.72,-0.55
0,3,male,28.0,7.8542,S,0,Yes,No,Young_adult,cheap,-0.13,-0.55
0,3,male,16.0,9.5,S,0,Yes,Yes,Teemager,moderate,-1.05,-0.51
1,3,male,19.0,8.05,S,0,Yes,No,Young_adult,moderate,-0.82,-0.55
0,1,male,29.69911764705882,26.0,S,0,Yes,No,Young_adult,exp,0.0,-0.13
0,3,male,33.0,8.6625,C,0,Yes,No,Adult,moderate,0.25,-0.53
1,3,male,30.0,9.5,S,0,Yes,No,Adult,moderate,0.02,-0.51
0,3,male,22.0,7.8958,S,0,Yes,No,Young_adult,cheap,-0.59,-0.55
1,2,male,42.0,13.0,S,0,Yes,No,Adult,moderate,0.95,-0.43
1,3,female,22.0,7.75,Q,0,Yes,No,Young_adult,cheap,-0.59,-0.55
1,1,female,26.0,78.85,S,0,Yes,No,Young_adult,very_exp,-0.28,1.12
1,1,female,19.0,91.0792,C,1,No,No,Young_adult,very_exp,-0.82,1.41
0,2,male,36.0,12.875,C,0,Yes,No,Adult,moderate,0.48,-0.43
0,3,female,24.0,8.85,S,0,Yes,No,Young_adult,moderate,-0.44,-0.53
0,3,male,24.0,7.8958,S,0,Yes,No,Young_adult,cheap,-0.44,-0.55
0,1,male,29.69911764705882,27.7208,C,0,Yes,No,Young_adult,exp,0.0,-0.08
0,3,male,23.5,7.2292,C,0,Yes,No,Young_adult,very_cheap,-0.48,-0.57
0,1,female,2.0,151.55,S,3,No,Yes,Child,very_exp,-2.13,2.83
1,1,male,29.69911764705882,30.5,S,0,Yes,No,Young_adult,exp,0.0,-0.02
1,1,female,50.0,247.5208,C,1,No,No,Adult,very_exp,1.56,5.08
1,3,female,29.69911764705882,7.75,Q,0,Yes,No,Young_adult,cheap,0.0,-0.55
1,3,male,29.69911764705882,23.25,Q,2,No,No,Young_adult,exp,0.0,-0.19
0,3,male,19.0,5.0,S,0,Yes,No,Young_adult,very_cheap,-0.82,-0.62
1,2,female,29.69911764705882,12.35,Q,0,Yes,No,Young_adult,moderate,0.0,-0.45
0,3,male,29.69911764705882,8.05,S,0,Yes,No,Young_adult,moderate,0.0,-0.55
1,1,male,0.92,151.55,S,3,No,Yes,Child,very_exp,-2.21,2.83
1,1,female,29.69911764705882,110.8833,C,0,Yes,No,Young_adult,very_exp,0.0,1.87
1,1,female,17.0,108.9,C,1,No,Yes,Teemager,very_exp,-0.98,1.82
0,2,male,30.0,24.0,C,1,No,No,Adult,exp,0.02,-0.17
1,1,female,30.0,56.9292,C,0,Yes,No,Adult,exp,0.02,0.6
1,1,female,24.0,83.1583,C,0,Yes,No,Young_adult,very_exp,-0.44,1.22
1,1,female,18.0,250.0,C,4,No,No,Young_adult,very_exp,-0.9,5.14
0,2,female,26.0,26.0,S,2,No,No,Young_adult,exp,-0.28,-0.13
0,3,male,28.0,7.8958,S,0,Yes,No,Young_adult,cheap,-0.13,-0.55
0,2,male,43.0,26.25,S,2,No,No,Adult,exp,1.02,-0.12
1,3,female,26.0,7.8542,S,0,Yes,No,Young_adult,cheap,-0.28,-0.55
1,2,female,24.0,26.0,S,1,No,No,Young_adult,exp,-0.44,-0.13
0,2,male,54.0,14.0,S,0,Yes,No,Adult,moderate,1.87,-0.41
1,1,female,31.0,164.8667,S,2,No,No,Adult,very_exp,0.1,3.14
1,1,female,40.0,134.5,C,2,No,No,Adult,very_exp,0.79,2.43
0,3,male,22.0,7.25,S,0,Yes,No,Young_adult,very_cheap,-0.59,-0.57
0,3,male,27.0,7.8958,S,0,Yes,No,Young_adult,cheap,-0.21,-0.55
1,2,female,30.0,12.35,Q,0,Yes,No,Adult,moderate,0.02,-0.45
1,2,female,22.0,29.0,S,2,No,No,Young_adult,exp,-0.59,-0.05
